name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified
Amesbury Sports,amesbury-sports,Community Centre,,Toronto,,43.7060012,-79.4867845,,,,,,,,,,,,
Jacob Hespeler Stadium,jacob-hespeler-stadium,Park,,Cambridge,,43.4213592,-80.3180554,,,,,,,,,,,,
Kin Family Park,kin-family-park,Park,,Orangeville,,43.9216063,-80.1189189,,,,,,,,,,,,
The Gables Park,the-gables-park-barrie,Park,,Barrie,250 Tollendal Mill Road,44.3731069,-79.6599961,,,,,,,,,,,,
Black Creek Provincial Park,black-creek-provincial-park,Park,,Municipality of Northern Bruce Peninsula,,44.9736587,-81.3621313,,,,,,,,,,,,
Camilla Park,camilla-park,Park,,Mississauga,,43.5750767,-79.6029908,,,,,,,,,,,,
The Village Green,the-village-green,Park,,Mississauga,780 Village Green Boulevard,43.5739554,-79.5682591,https://www.mississauga.ca/events-and-attractions/parks/the-village-green/,,,,,,,,,,,
Richard Jones Park,richard-jones-park,Park,,Mississauga,,43.5871302,-79.61457,,,,,,,,,,,,
Neebin Park,neebin-park,Park,,Mississauga,,43.6384405,-79.7235726,,,,,,,,,,,,
Applewood Heights,applewood-heights,Park,,Mississauga,3119 Constitution Boulevard,43.6062077,-79.593124,https://www.mississauga.ca/events-and-attractions/parks/applewood-heights/,,,,,,,,,,,
Hawkins Glen Park,hawkins-glen-park,Park,,Mississauga,2970 Rymal Road,43.6000338,-79.5968323,,,,,,,,,,,,
Applewood Hills,applewood-hills,Park,,Mississauga,1204 Bloor Street,43.6169552,-79.6039712,https://www.mississauga.ca/events-and-attractions/parks/applewood-hills/,,,,,,,,,,,
Willowcreek Park,willowcreek-park,Park,,Mississauga,,43.6148247,-79.583828,,,,,,,,,,,,
Bethesda Common,bethesda-common,Park,,Mississauga,3311 Fieldgate Drive,43.6222264,-79.5851172,https://www.mississauga.ca/events-and-attractions/parks/bethesda-common/,,,,,,,,,,,
Burnhamdale Park,burnhamdale-park,Park,,Mississauga,3316 Cardross Road,43.6193278,-79.5881334,https://www.mississauga.ca/events-and-attractions/parks/burnhamdale-park/,,,,,,,,,,,
